Mechanic,Count
Hand Management,33
Solo / Solitaire Game,25
Variable Player Powers,22
Dice Rolling,20
Open Drafting,20
Set Collection,20
Variable Set-up,19
Take That,14
Team-Based Game,13
End Game Bonuses,13
